,timestamp,r1_x,r1_y,r1_a,r2_x,r2_y,r2_a,r3_x,r3_y,r3_a,r4_x,r4_y,r4_a,r5_x,r5_y,r5_a
0,1661352348799.37,2702.65185546875,2634.24365234375,11.8160804150549,3753.71484375,2551.1728515625,-103.858859311595,3409.1162109375,2213.5009765625,61.143443638604,1594.77038574219,2795.03857421875,-10.8562569828815,2794.89208984375,2882.46411132812,31.5047051693582
1,1661352348832.73,2707.7724609375,2633.01220703125,12.6329428652581,3753.71484375,2551.1728515625,-104.075553893203,3409.1162109375,2213.5009765625,61.143443638604,1594.77038574219,2795.03857421875,-10.8562569828815,2797.00756835937,2883.6416015625,32.5691764911263
2,1661352348866.1,2712.021484375,2634.26733398438,13.2755501142614,3753.76196289062,2547.455078125,-104.292589984269,3409.1162109375,2213.5009765625,61.143443638604,1594.77038574219,2795.03857421875,-10.8562569828815,2799.14477539063,2884.81030273438,32.964883500691
3,1661352348899.47,2716.0830078125,2633.06005859375,16.0207516983039,3752.77294921875,2541.22338867188,-104.073033553399,3409.1162109375,2213.5009765625,61.143443638604,1594.77038574219,2795.03857421875,-10.8562569828815,2800.23876953125,2885.99072265625,32.567031811727
4,1661352348932.83,2717.13110351563,2633.0576171875,16.0207516983039,3750.73095703125,2534.9873046875,-103.384441202035,3411.26733398437,2213.49755859375,61.8342762920157,1595.79858398438,2795.03515625,-10.9888113178775,2802.2822265625,2885.98388671875,33.2344881427044
5,1661352348966.2,2721.2041015625,2631.82690429687,17.0205479588212,3750.77880859375,2530,-103.592092613182,3411.26733398437,2213.49755859375,61.8342762920157,1595.79858398438,2795.03515625,-10.9888113178775,2801.25927734375,2885.9873046875,33.2344881427044
6,1661352348999.57,2728.49462890625,2631.828125,18.5865515336069,3748.70727539062,2528.7705078125,-103.598553972137,3411.26733398437,2213.49755859375,61.8342762920157,1594.77038574219,2795.03857421875,-10.8562569828815,2801.25927734375,2885.9873046875,33.2344881427044
7,1661352349032.93,2733.515625,2629.373046875,20.36818418049,3747.66796875,2527.5126953125,-102.699202473554,3411.26733398437,2213.49755859375,61.8342762920157,1594.77038574219,2795.03857421875,-10.8562569828815,2803.37353515625,2887.16357421875,33.6390436623388
8,1661352349066.3,2739.8447265625,2630.615234375,21.1308379805717,3747.66943359375,2526.25146484375,-102.699202473554,3411.26733398437,2213.49755859375,61.8342762920157,1596.0126953125,2796.25634765625,-10.8562569828815,2804.466796875,2888.34301757812,34.2950082000377
9,1661352349099.67,2745.986328125,2629.39306640625,23.9224677754974,3747.69116210937,2525.01635742188,-102.900160299314,3411.26733398437,2213.49755859375,61.5802000850804,1595.79858398438,2795.03515625,-10.9888113178775,2804.537109375,2889.525390625,33.8903194917144
10,1661352349133.03,2750.12426757812,2629.41259765625,26.001452707897,3747.69116210937,2525.01635742188,-102.900160299314,3411.26733398437,2213.49755859375,61.5802000850804,1595.79858398438,2795.03515625,-10.9888113178775,2806.6728515625,2890.693359375,33.6370492471012
11,1661352349166.4,2753.13647460937,2628.19384765625,27.7749369391002,3747.66943359375,2526.25146484375,-102.699202473554,3411.26733398437,2213.49755859375,61.5802000850804,1596.0126953125,2796.25634765625,-10.8562569828815,2806.6728515625,2890.693359375,33.235519501269
12,1661352349199.77,2755.2021484375,2628.20068359375,28.8296820714902,3747.66943359375,2526.25146484375,-102.699202473554,3411.26733398437,2213.49755859375,61.5802000850804,1594.77038574219,2795.03857421875,-10.8562569828815,2806.6728515625,2890.693359375,34.2931435583942
13,1661352349233.13,2757.3671875,2629.431640625,30.2488485319517,3747.6982421875,2526.30200195312,-105.440963349802,3411.26733398437,2213.49755859375,61.5802000850804,1594.77038574219,2795.03857421875,-10.8562569828815,2806.6728515625,2890.693359375,33.6370492471012
14,1661352349266.5,2756.2255859375,2628.20922851562,30.5795014047666,3746.71020507812,2525.134765625,-109.624474707002,3411.26733398437,2213.49755859375,61.5802000850804,1594.77038574219,2795.03857421875,-10.8562569828815,2805.650390625,2890.69677734375,33.6370492471012
15,1661352349299.87,2755.1796875,2628.2119140625,30.5795014047666,3745.73706054688,2525.21264648438,-115.322881040976,3411.26733398437,2213.49755859375,61.5802000850804,1593.72607421875,2795.04150390625,-10.9891297754476,2805.650390625,2890.69677734375,33.6370492471012
16,1661352349333.23,2755.279296875,2629.43701171875,29.1802312853574,3742.67529296875,2526.53369140625,-120.602904137341,3411.26733398437,2213.49755859375,61.5802000850804,1593.72607421875,2795.04150390625,-10.9891297754476,2804.63012695312,2890.7001953125,33.2323981048183
17,1661352349366.6,2755.2021484375,2628.20068359375,29.1802312853574,3740.6455078125,2527.82373046875,-125.030546946045,3411.26733398437,2213.49755859375,61.5802000850804,1592.69775390625,2795.044921875,-10.856569464036,2804.63012695312,2890.7001953125,33.2323981048183
18,1661352349399.97,2755.2021484375,2628.20068359375,29.1802312853574,3739.66650390625,2527.84790039063,-128.901133186422,3411.232421875,2212.1767578125,62.2607874547372,1592.69775390625,2795.044921875,-10.856569464036,2805.650390625,2890.69677734375,33.6370492471012
19,1661352349433.33,2755.2021484375,2628.20068359375,29.1802312853574,3738.6416015625,2527.85546875,-130.013265568218,3411.26733398437,2213.49755859375,61.1511480919877,1592.69775390625,2795.044921875,-10.856569464036,2804.63012695312,2890.7001953125,33.2323981048183
20,1661352349466.7,2755.2021484375,2628.20068359375,29.1802312853574,3737.59619140625,2527.85815429687,-129.459186962368,3411.22119140625,2210.8701171875,61.5850358590128,1593.72607421875,2795.04150390625,-10.9891297754476,2806.6728515625,2890.693359375,33.6370492471012
21,1661352349500.07,2755.2021484375,2628.20068359375,29.1802312853574,3737.59619140625,2527.85815429687,-129.459186962368,3406.81201171875,2204.3095703125,61.1504582428815,1592.69775390625,2795.044921875,-10.856569464036,2806.6728515625,2890.693359375,33.6370492471012
22,1661352349533.43,2756.1484375,2626.97265625,29.5328910276781,3738.6416015625,2527.85546875,-130.013265568218,3400.14721679688,2192.47583007812,60.4739006848351,1594.77038574219,2795.03857421875,-10.8562569828815,2806.6728515625,2890.693359375,33.6370492471012
23,1661352349566.8,2757.2900390625,2628.19506835937,29.885721524728,3737.57373046875,2529.10327148437,-128.907198394405,3391.3125,2180.6220703125,59.345471471679,1596.84289550781,2795.0322265625,-10.8559453555006,2807.69287109375,2890.68994140625,33.6401672284573
24,1661352349600.17,2757.2900390625,2628.19506835937,28.8320999584564,3737.57373046875,2529.10327148437,-129.465238509973,3383.5234375,2167.4267578125,58.6758397254509,1599.94348144531,2795.0224609375,-10.9881667187746,2808.71533203125,2890.6865234375,33.6401672284573
25,1661352349633.53,2758.33203125,2628.1923828125,29.1851353611814,3737.57373046875,2529.10327148437,-129.465211189216,3376.8701171875,2158.171875,57.7092996560024,1600.9716796875,2795.01904296875,-11.825261043073,2809.7353515625,2890.68310546875,34.0535985789181
26,1661352349666.9,2759.35546875,2628.20068359375,29.8933610913146,3734.45556640625,2526.615234375,-128.90237628085,3371.251953125,2147.5693359375,57.5463723235409,1603.04406738281,2795.01245117187,-11.8248905053106,2809.64306640625,2889.50830078125,34.7181964757279
27,1661352349700.27,2759.35546875,2628.20068359375,29.8933610913146,3731.35302734375,2519.12451171875,-128.902567526147,3363.49853515625,2138.2861328125,57.0486940047625,1603.04406738281,2795.01245117187,-11.8248905053106,2810.75537109375,2890.6796875,34.4759091753
