,timestamp,r1_x,r1_y,r1_a,r2_x,r2_y,r2_a,r3_x,r3_y,r3_a,r4_x,r4_y,r4_a,r5_x,r5_y,r5_a,d_12,look_12,d_13,look_13,d_14,look_14,d_15,look_15,d_23,look_23,d_24,look_24,d_25,look_25,d_34,look_34,d_35,look_35,d_45,look_45
0,1661351594599.37,3246.4072265625,3247.69921875,-34.806463010372,4825.1259765625,1797.95251464844,153.906291813298,5520.30615234375,3124.03759765625,168.678174157717,6119.07275390625,1475.16467285156,-14.4565171425132,717.410583496094,3540.16455078125,-24.0047305738611,2143.389464762505,True,2277.258993000282,False,3375.512694153665,False,2545.8515257338363,False,1497.256532520423,False,1333.600484931737,False,4461.908619557413,True,1754.2244341305586,False,4820.888661478664,False,5782.921294561235,False
1,1661351594632.73,3246.4072265625,3247.69921875,-34.4125830764103,4825.1259765625,1797.95251464844,153.046630543982,5521.478515625,3122.8857421875,167.919449423955,6119.07275390625,1475.16467285156,-13.5624035452499,740.33349609375,3530.52075195313,-25.3072305731096,2143.389464762505,True,2278.492434538268,False,3375.512694153665,False,2521.9820701561157,False,1496.781519158979,False,1333.600484931737,False,4437.039813367818,True,1752.7417368113652,False,4798.4908043024425,False,5758.066048199963,False
2,1661351594666.1,3245.4267578125,3247.7001953125,-34.0294231243509,4825.1259765625,1797.95251464844,153.046630543982,5521.478515625,3122.8857421875,167.919449423955,6119.07275390625,1475.16467285156,-13.5624035452499,762.608154296875,3521.95166015625,-25.016544552223,2144.112394281182,True,2279.4714852242096,False,3376.3476552706356,False,2497.9195511329467,False,1496.781519158979,False,1333.600484931737,False,4413.187522634575,True,1752.7417368113652,False,4775.573339695614,False,5734.200029495678,False
3,1661351594699.47,3245.4267578125,3247.7001953125,-34.4155951898342,4825.1259765625,1797.95251464844,153.046630543982,5521.478515625,3122.8857421875,167.919449423955,6119.07275390625,1475.16467285156,-13.5624035452499,782.412658691406,3511.2333984375,-25.4692648583371,2144.112394281182,True,2279.4714852242096,False,3376.3476552706356,False,2477.0725063305304,False,1496.781519158979,False,1333.600484931737,False,4390.770132590561,True,1752.7417368113652,False,4754.9510090503145,False,5711.875071039953,False
4,1661351594732.83,3246.4072265625,3247.69921875,-34.806463010372,4825.1259765625,1797.95251464844,153.046630543982,5521.478515625,3122.8857421875,167.919449423955,6119.07275390625,1475.16467285156,-13.5624035452499,801.806213378906,3502.68115234375,-25.0216381657965,2143.389464762505,True,2278.492434538268,False,3375.512694153665,False,2457.862872521057,False,1496.781519158979,False,1333.600484931737,False,4369.576826765058,True,1752.7417368113652,False,4734.928847846048,False,5690.707033192276,False
5,1661351594766.2,3246.4072265625,3247.69921875,-34.806463010372,4825.1259765625,1797.95251464844,153.046630543982,5521.478515625,3122.8857421875,167.919449423955,6119.9306640625,1476.61303710938,-14.6432374389485,819.536254882813,3495.13134765625,-25.0179020523205,2143.389464762505,True,2278.492434538268,False,3375.482663066153,False,2439.4518588397245,False,1496.781519158979,False,1334.0832952244955,False,4350.306312161904,True,1751.6731411581015,False,4716.6543030143885,False,5671.736688429416,False
6,1661351594799.57,3246.4072265625,3247.69921875,-34.806463010372,4825.1259765625,1797.95251464844,153.046630543982,5521.478515625,3122.8857421875,167.919449423955,6119.07275390625,1475.16467285156,-13.5624035452499,834.080200195313,3486.52197265625,-24.5582354438206,2143.389464762505,True,2278.492434538268,False,3375.512694153665,False,2424.1200444542596,False,1496.781519158979,False,1333.600484931737,False,4333.556645940509,True,1752.7417368113652,False,4701.482136050566,False,5654.794822118453,False
7,1661351594832.93,3246.4072265625,3247.69921875,-34.806463010372,4825.1259765625,1797.95251464844,153.046630543982,5521.478515625,3122.8857421875,167.919449423955,6119.07275390625,1475.16467285156,-13.5624035452499,852.12548828125,3480.0888671875,-23.5362257005751,2143.389464762505,True,2278.492434538268,False,3375.512694153665,False,2405.5332030483364,False,1496.781519158979,False,1333.600484931737,False,4314.431085139322,True,1752.7417368113652,False,4682.99602460583,False,5635.641447422669,False
8,1661351594866.3,3246.4072265625,3247.69921875,-34.806463010372,4825.1259765625,1797.95251464844,153.046630543982,5521.478515625,3122.8857421875,167.919449423955,6119.07275390625,1475.16467285156,-14.4565171425132,868.455932617188,3474.66674804688,-24.5533364906384,2143.389464762505,True,2278.492434538268,False,3375.512694153665,False,2388.7583837071747,False,1496.781519158979,False,1333.600484931737,False,4297.279192365224,True,1752.7417368113652,False,4666.301429833282,False,5618.450458330486,False
9,1661351594899.67,3248.31689453125,3245.46923828125,-35.059685443661,4825.1259765625,1797.95251464844,153.046630543982,5516.35302734375,3124.0400390625,168.812701563609,6119.07275390625,1475.16467285156,-13.5624035452499,883.335327148438,3467.08618164062,-24.5532647736521,2140.4746077384093,True,2271.284427403575,False,3372.716628849376,False,2375.342477127122,False,1495.4273496691021,False,1333.600484931737,False,4280.621534554871,True,1755.5799731384602,False,4645.700557102318,False,5601.847704028467,False
10,1661351594933.03,3253.11962890625,3241.00537109375,-35.4577420383002,4825.1259765625,1797.95251464844,153.046630543982,5507.05615234375,3126.31005859375,169.442472325841,6119.07275390625,1475.16467285156,-13.5624035452499,897.492431640625,3460.63720703125,-23.806306748283,2133.917876481312,True,2256.8528676887636,False,3366.285888968097,False,2365.8439584754487,False,1493.171969063665,False,1333.600484931737,False,4265.070415535914,True,1760.9217488139095,False,4621.672028325332,False,5586.3227838940265,False
