,timestamp,r1_x,r1_y,r1_a,r2_x,r2_y,r2_a,r3_x,r3_y,r3_a,r4_x,r4_y,r4_a,r5_x,r5_y,r5_a,d_12,look_12,d_13,look_13,d_14,look_14,d_15,look_15,d_23,look_23,d_24,look_24,d_25,look_25,d_34,look_34,d_35,look_35,d_45,look_45
0,1661353448232.37,4615.1552734375,620.649169921875,-123.268672328884,6107.759765625,2266.56787109375,170.566393614145,2121.31787109375,3846.4658203125,-30.5927178208106,,,,7314.017578125,381.257904052734,151.569684098237,2221.917311910058,False,4077.391083924378,False,,False,2709.4586023479956,False,4288.099405146703,True,,False,2238.180417670006,False,,False,6242.739474806856,True,,False
1,1661353448265.73,4615.341796875,615.634521484375,-121.184030292304,6106.26318359375,2269.1611328125,170.567677689709,2133.09130859375,3832.32153320312,-21.802076528802,,,,7314.017578125,381.257904052734,151.569684098237,2226.431412764748,False,4063.082920386018,False,,False,2708.8343196112965,False,4269.609488658229,True,,False,2241.1714076953363,False,,False,6225.097363315985,True,,False
2,1661353448299.1,4615.404296875,613.96142578125,-119.831529893237,6103.353515625,2267.91723632812,169.566631504573,2142.9658203125,3818.251953125,-12.4612771595272,,,,7314.017578125,381.257904052734,151.569684098237,2224.7612682758772,False,4047.2743672762763,False,,False,2708.62780218393,False,4253.023445889797,True,,False,2241.693758810692,False,,False,6209.082410093614,True,,False
3,1661353448332.47,4615.6181640625,608.954406738281,-118.982714964323,6103.138671875,2269.22314453125,170.567445463277,2153.33666992187,3807.1171875,-4.79655370549435,,,,7314.017578125,381.257904052734,150.611599802981,2229.172389667389,False,4036.22042617062,False,,False,2707.98912389767,False,4238.638217875137,True,,False,2242.9089314674143,False,,False,6194.2827886910445,False,,False
4,1661353448365.83,4616.7919921875,608.91845703125,-117.630856603037,6102.0869140625,2269.24389648437,170.458353681854,2163.82690429687,3796.99169921875,3.53812913040334,,,,7314.017578125,381.257904052734,150.611599802981,2227.7301384689436,False,4022.542569067754,False,,False,2706.8164305727078,False,4224.204688847228,True,,False,2243.494382010582,False,,False,6179.943473546136,False,,False
5,1661353448399.2,4616.7919921875,608.91845703125,-117.630856603037,6103.138671875,2269.22314453125,170.567445463277,2173.86401367188,3789.86889648437,11.2417682275626,,,,7314.017578125,381.257904052734,151.021356511668,2228.416053512568,False,4010.7783292612185,False,,False,2706.8164305727078,False,4213.260357790664,False,,False,2242.9089314674143,False,,False,6167.641977602615,False,,False
6,1661353448432.57,4616.7919921875,608.91845703125,-116.877486737585,6103.138671875,2269.22314453125,170.567445463277,2182.95556640625,3782.708984375,17.1021311533624,,,,7314.81640625,382.972045898437,152.371411703013,2228.416053512568,False,3999.563233518951,False,,False,2707.468840001874,False,4202.1988253544305,False,,False,2241.897887744584,False,,False,6155.827071187412,False,,False
7,1661353448465.93,4616.7919921875,608.91845703125,-116.877486737585,6103.138671875,2269.22314453125,170.567445463277,2194.25341796875,3777.48754882812,23.2292752917274,,,,7314.81640625,382.972045898437,151.979222240871,2228.416053512568,False,3988.5490134970455,False,,False,2707.468840001874,False,4189.7786864552545,False,,False,2241.897887744584,False,,False,6143.525113205428,False,,False
8,1661353448499.3,4619.1865234375,608.880737304688,-116.869345152094,6105.4404296875,2267.91528320312,171.456558508294,2204.9599609375,3774.26391601562,28.231304566231,,,,7317.2109375,382.935485839844,151.981148354217,2227.40797752181,False,3980.9723137880137,False,,False,2707.468743224344,False,4181.247910693207,False,,False,2240.8785330918454,False,,False,6134.836474485912,False,,False
9,1661353448532.67,4617.9931640625,608.899658203125,-117.630856603037,6103.138671875,2269.22314453125,170.567445463277,2211.72412109375,3770.107421875,33.8016226551526,,,,7314.81640625,382.972045898437,152.371411703013,2227.6290666599834,False,3972.82836682496,False,,False,2706.270290566779,False,4170.822559161407,False,,False,2241.897887744584,False,,False,6124.886686789652,False,,False
10,1661353448566.03,4619.1865234375,608.880737304688,-117.622824300573,6106.49267578125,2267.89453125,171.552071873648,2220.54736328125,3766.8916015625,37.8285109444954,,,,7317.2109375,382.935485839844,151.981148354217,2228.0947823870483,False,3965.665447236498,False,,False,2707.468743224344,False,4165.040598667219,False,,False,2240.292238109314,False,,False,6117.77235453437,False,,False
11,1661353448599.4,4619.275390625,607.222412109375,-118.222364645538,6105.2265625,2269.181640625,170.673764187897,2227.6640625,3764.71118164062,42.357032232146,,,,7317.2109375,382.935485839844,151.981148354217,2229.385422587341,False,3961.0024077917146,False,,False,2707.242294362871,False,4155.9715530134035,False,,False,2242.0594732713776,False,,False,6110.63779400572,False,,False
12,1661353448632.77,4620.5224609375,607.23486328125,-121.808869657955,6107.3154296875,2269.14038085937,170.567841614249,2234.3408203125,3765.56689453125,45.5330155546885,,,,7318.806640625,381.184753417969,151.573618287199,2229.906563352159,False,3958.3991766464846,False,,False,2707.73635469206,False,4152.014527393132,False,,False,2243.2314649555146,False,,False,6107.850289178065,False,,False
13,1661353448666.13,4619.3408203125,608.960144042969,-128.044736747529,6107.3154296875,2269.14038085937,170.674010074708,2238.19384765625,3766.47900390625,49.0809334133896,,,,7318.806640625,381.184753417969,151.573618287199,2229.40953098807,False,3954.716962790427,False,,False,2709.0583868956774,False,4148.7497838033005,False,,False,2243.2314649555146,False,,False,6105.148934667092,False,,False
