,timestamp,r1_x,r1_y,r1_a,r2_x,r2_y,r2_a,r3_x,r3_y,r3_a,r4_x,r4_y,r4_a,r5_x,r5_y,r5_a
0,1661353593132.4,3676.616699,3400.015869,16.08674328,4345.098633,2167.887207,77.61874101,4169.94043,3694.536133,-29.03944743,,,,4230.553711,3003.85791,115.3285638
1,1661353593165.7,3654.256592,3393.024658,16.58746274,4346.868164,2179.688721,76.87412745,4169.96582,3692.509277,-29.93348504,3081.605469,3494.794922,-8.688738285,4233.74707,2994.62207,115.0166154
2,1661353593199.1,3635.78418,3388.083252,17.70788526,4350.657227,2194.018311,77.61885712,4169.96582,3692.509277,-30.51900983,3081.605469,3494.794922,-8.688738285,4237.927246,2986.52002,115.0198802
3,1661353593232.5,3613.402344,3382.139648,18.4044604,4354.405273,2209.634766,77.62075592,4169.974121,3691.479248,-31.41131599,3081.605469,3494.794922,-8.688738285,4242.162109,2976.062988,114.6790401
4,1661353593265.8,3592.95752,3377.230225,17.48827761,4356.107422,2222.647949,77.10437313,4169.053711,3690.470215,-31.9857349,3081.605469,3494.794922,-8.688738285,4245.322754,2969.130859,115.0146209
5,1661353593299.2,3574.377686,3371.205566,19.09570799,4359.95752,2234.27417,77.84359084,4169.09375,3688.441406,-31.99009939,,,,4248.498535,2962.147949,115.3627967
6,1661353593332.6,3557.751465,3367.317383,22.98762832,4361.703125,2245.949219,77.61890494,4168.189453,3686.433838,-31.99444339,,,,4251.65918,2955.156982,114.3619486
7,1661353593365.9,3544.055908,3366.628418,29.07186692,4364.574219,2254.958984,78.58694765,4168.206055,3685.435547,-31.99887277,,,,4253.818848,2949.314209,115.0168203
8,1661353593399.3,3528.368652,3365.956543,38.6881688,4367.396484,2265.26416,78.58569772,4168.246094,3683.405273,-32.32949149,,,,4256.959961,2943.486816,115.0164924
9,1661353593432.7,3515.631348,3367.310547,48.95741627,4368.147461,2274.289063,78.06319508,4169.174805,3683.383789,-32.89729195,,,,4261.166016,2935.271484,115.3596548
10,1661353593466,3501.874268,3366.468994,58.4517139,4371.102539,2280.700195,78.06439036,4169.197754,3682.351807,-32.89729195,,,,4267.592773,2920.077148,116.0148338
11,1661353593499.4,3489.082275,3364.494141,66.35994598,4371.890625,2288.425781,77.84177401,4172,3682.287598,-33.79327616,,,,4275.038574,2903.635742,115.3601602
12,1661353593532.8,3476.234863,3360.343506,72.96405588,4372.723145,2294.838867,78.05990293,4172.040039,3680.255859,-33.45925942,,,,4281.509766,2887.17041,115.3543546
13,1661353593566.1,3465.365234,3356.168457,78.85831106,4374.657227,2299.949219,78.06400104,4172.969238,3680.234619,-34.35314336,,,,4288.984375,2871.830566,116.3654958
14,1661353593599.5,,,,4373.380371,2306.394043,78.58400384,4172.986816,3679.235352,-33.79963166,3086.391113,3494.721436,-7.214248999,4295.356934,2859.973633,116.3671213
15,1661353593632.9,,,,4372.214844,2308.899902,83.24656417,4173.938965,3678.180908,-33.79677322,3094.931641,3493.489258,-7.146169943,4300.744141,2848.115234,117.3871828
16,1661353593666.2,,,,4371.073242,2311.429199,87.76944031,4174.875488,3679.192383,-33.4610182,3106.427246,3493.229492,-6.475522633,4305.084961,2837.411621,116.0052443
17,1661353593699.6,3437.24707,3334.804688,95.23387401,4369.972656,2312.649902,92.29134656,4174.875488,3679.192383,-32.8984121,3118.729004,3490.837891,-6.415672673,4310.44043,2826.710449,116.3608102
18,1661353593733,3433.186768,3330.481934,98.59912188,4369.901367,2315.183594,94.56644159,4175.804688,3679.170898,-33.2312199,3131.019775,3488.445801,-5.685166439,4314.765625,2817.172852,115.7085272
19,1661353593766.3,3431.064453,3326.146973,100.5869596,4368.77002,2317.774658,95.37233561,4174.883789,3678.159424,-33.2312199,3143.483887,3488.164307,-6.415639803,4319.097656,2807.620117,115.7073387
20,1661353593799.7,3428.063721,3324.001953,102.0849089,4368.771484,2317.737061,97.63519094,4174.883789,3678.159424,-33.79677322,3152.983398,3486.90918,-5.685258647,4323.384766,2799.259521,115.0451109
21,1661353593833.1,3427.922852,3320.723389,103.3970292,4367.676758,2319.023926,97.63519094,4174.883789,3678.159424,-33.79677322,3162.565674,3486.692871,-5.685055022,4326.674805,2790.90918,115.0407532
22,1661353593866.4,3426.90332,3319.638672,104.2664372,4367.676758,2319.023926,97.53865988,4174.883789,3678.159424,-33.79677322,3170.163086,3485.446777,-5.68487701,4331.930664,2784.837891,115.3589581
23,1661353593899.8,3426.819336,3317.464355,105.5714268,4367.676758,2319.023926,97.53865988,4173.97168,3677.181152,-33.80406445,3177.749268,3484.234375,-5.685350854,4332.105469,2778.913086,114.3720367
24,1661353593933.2,3425.838867,3317.48584,104.9150661,4366.580078,2320.349121,97.62682396,4173.049805,3676.169434,-34.36217628,,,,4334.242188,2775.2771,114.0374326
25,1661353593966.5,3425.838867,3317.48584,105.1526952,4364.475098,2320.393066,96.86833145,4173.067383,3675.169434,-34.15361645,3190.13623,3482.913574,-5.737322191,4334.360352,2771.72583,113.3701026
26,1661353593999.9,3426.717529,3315.289063,104.9208171,4363.379395,2321.717529,96.10810408,4171.233398,3673.178223,-33.81603435,,,,4335.517578,2766.937012,112.382389
27,1661353594033.3,3426.774414,3316.39624,105.1616223,4363.430664,2320.415039,97.61721388,4171.250977,3672.177246,-34.1655727,3196.693848,3480.648438,-5.737720903,4336.56543,2765.744141,112.6923908
